,entity,surface,qid,lSentenceOffset,rSentenceOffset,sentence_idx,lArticleOffset,rArticleOffset,id,article,newspaper,date,year,decade,agency,language,country,impresso_link
4925465,org.ent.pressagency.unk,. A. Z.,NIL,4727,4734,,4727,4734,4727:4734:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1841-07-07-a-i0002,NZZ,1841-07-07,1841,1840,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1841-07-07-a-i0002
5104126,pers.ind.articleauthor,M. GARNIER,NIL,7092,7102,,7092,7102,7092:7102:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,jdpl-1848-01-22-a-i0014,jdpl,1848-01-22,1848,1840,articleauthor,unknown,unknown,impresso-project.ch/app/article/jdpl-1848-01-22-a-i0014
4925563,org.ent.pressagency.unk,. Z,NIL,2204,2207,,2204,2207,2204:2207:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1841-08-30-a-i0002,NZZ,1841-08-30,1841,1840,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1841-08-30-a-i0002
4924905,org.ent.pressagency.unk,Z.,NIL,7707,7709,,7707,7709,7707:7709:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1841-03-08-a-i0002,NZZ,1841-03-08,1841,1840,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1841-03-08-a-i0002
5297580,org.ent.pressagency.unk,V.-H.,NIL,7974,7979,,7974,7979,7974:7979:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1849-10-28-a-i0007,luxwort,1849-10-28,1849,1840,unk,unknown,unknown,impresso-project.ch/app/article/luxwort-1849-10-28-a-i0007
4976149,org.ent.pressagency.unk,. Z,NIL,1209,1212,,1209,1212,1209:1212:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1857-03-08-a-i0003,NZZ,1857-03-08,1857,1850,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1857-03-08-a-i0003
5358928,org.ent.pressagency.unk,i d,NIL,2019,2022,,2019,2022,2019:2022:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,luxzeit1858-1859-01-29-a-i0024,luxzeit1858,1859-01-29,1859,1850,unk,unknown,unknown,impresso-project.ch/app/article/luxzeit1858-1859-01-29-a-i0024
5329227,org.ent.pressagency.unk,. f.,NIL,1810,1814,,1810,1814,1810:1814:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1859-12-11-a-i0004,luxwort,1859-12-11,1859,1850,unk,unknown,unknown,impresso-project.ch/app/article/luxwort-1859-12-11-a-i0004
4033723,pers.ind.articleauthor,de,NIL,1064,1066,,1064,1066,1064:1066:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1858-08-24-a-i0013,JDG,1858-08-24,1858,1850,articleauthor,unknown,unknown,impresso-project.ch/app/article/JDG-1858-08-24-a-i0013
5389979,org.ent.pressagency.unk,T. Z.,NIL,1421,1426,,1421,1426,1421:1426:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,waechtersauer-1858-12-08-a-i0012,waechtersauer,1858-12-08,1858,1850,unk,unknown,unknown,impresso-project.ch/app/article/waechtersauer-1858-12-08-a-i0012
5105093,org.ent.pressagency.Havas,Havas,Q2826560,5577,5582,,5577,5582,5577:5582:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,jdpl-1863-11-21-a-i0012,jdpl,1863-11-21,1863,1860,Havas,unknown,unknown,impresso-project.ch/app/article/jdpl-1863-11-21-a-i0012
5349190,org.ent.pressagency.Wolff,Wolff,Q552226,19611,19616,,19611,19616,19611:19616:org.ent.pressagency.Wolff:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1869-06-15-a-i0033,luxwort,1869-06-15,1869,1860,Wolff,unknown,unknown,impresso-project.ch/app/article/luxwort-1869-06-15-a-i0033
4859588,org.ent.pressagency.Reuters,Reutersche,Q130879,7599,7609,,7599,7609,7599:7609:org.ent.pressagency.Reuters:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1865-08-29-a-i0003,NZZ,1865-08-29,1865,1860,Reuters,unknown,unknown,impresso-project.ch/app/article/NZZ-1865-08-29-a-i0003
4804994,pers.ind.articleauthor,H.,NIL,5068,5070,,5068,5070,5068:5070:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1866-05-29-a-i0002,NZZ,1866-05-29,1866,1860,articleauthor,unknown,unknown,impresso-project.ch/app/article/NZZ-1866-05-29-a-i0002
1464806,org.ent.pressagency.Havas,Havas,Q2826560,3545,3550,,3545,3550,3545:3550:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1860-06-23-a-i0008,GDL,1860-06-23,1860,1860,Havas,unknown,unknown,impresso-project.ch/app/article/GDL-1860-06-23-a-i0008
5068944,org.ent.pressagency.Havas,Havas,Q2826560,3835,3840,,3835,3840,3835:3840:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,indeplux-1877-02-18-a-i0001,indeplux,1877-02-18,1877,1870,Havas,unknown,unknown,impresso-project.ch/app/article/indeplux-1877-02-18-a-i0001
4117458,org.ent.pressagency.Havas,Havas,Q2826560,7166,7171,,7166,7171,7166:7171:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,LCR-1872-08-24-a-i0007,LCR,1872-08-24,1872,1870,Havas,unknown,unknown,impresso-project.ch/app/article/LCR-1872-08-24-a-i0007
5295484,org.ent.pressagency.unk,ss,NIL,680,682,,680,682,680:682:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1871-06-09-a-i0014,luxwort,1871-06-09,1871,1870,unk,unknown,unknown,impresso-project.ch/app/article/luxwort-1871-06-09-a-i0014
3712898,org.ent.pressagency.Havas,Bavas,Q2826560,9561,9566,,9561,9566,9561:9566:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1874-04-19-a-i0014,JDG,1874-04-19,1874,1870,Havas,unknown,unknown,impresso-project.ch/app/article/JDG-1874-04-19-a-i0014
5328820,org.ent.pressagency.unk,V.,NIL,5682,5684,,5682,5684,5682:5684:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1871-11-30-a-i0002,luxwort,1871-11-30,1871,1870,unk,unknown,unknown,impresso-project.ch/app/article/luxwort-1871-11-30-a-i0002
5072395,org.ent.pressagency.Reuters,REUTER,Q130879,1933,1939,,1933,1939,1933:1939:org.ent.pressagency.Reuters:dbmdz_bert_base_historic_multilingual_de_and_fr,indeplux-1886-08-27-a-i0038,indeplux,1886-08-27,1886,1880,Reuters,unknown,unknown,impresso-project.ch/app/article/indeplux-1886-08-27-a-i0038
5222978,org.ent.pressagency.DNB,tJN,Q1205856,108,111,,108,111,108:111:org.ent.pressagency.DNB:dbmdz_bert_base_historic_multilingual_de_and_fr,lematin-1889-06-10-a-i0034,lematin,1889-06-10,1889,1880,DNB,unknown,unknown,impresso-project.ch/app/article/lematin-1889-06-10-a-i0034
5243361,org.ent.pressagency.Havas,Havas,Q2826560,1271,1276,,1271,1276,1271:1276:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,lepetitparisien-1882-11-14-a-i0008,lepetitparisien,1882-11-14,1882,1880,Havas,unknown,unknown,impresso-project.ch/app/article/lepetitparisien-1882-11-14-a-i0008
3747196,org.ent.pressagency.Havas,Havas,Q2826560,5792,5797,,5792,5797,5792:5797:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1888-05-09-a-i0001,JDG,1888-05-09,1888,1880,Havas,unknown,unknown,impresso-project.ch/app/article/JDG-1888-05-09-a-i0001
4823398,org.ent.pressagency.unk,Orig,NIL,8089,8093,,8089,8093,8089:8093:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1880-12-12-b-i0003,NZZ,1880-12-12,1880,1880,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1880-12-12-b-i0003
3933373,pers.ind.articleauthor,D. S.,NIL,1079,1084,,1079,1084,1079:1084:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1892-03-26-a-i0029,JDG,1892-03-26,1892,1890,articleauthor,unknown,unknown,impresso-project.ch/app/article/JDG-1892-03-26-a-i0029
5207507,pers.ind.articleauthor,R. GAKEL,NIL,440,448,,440,448,440:448:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,lematin-1898-05-18-a-i0055,lematin,1898-05-18,1898,1890,articleauthor,unknown,unknown,impresso-project.ch/app/article/lematin-1898-05-18-a-i0055
5071794,org.ent.pressagency.unk,L. S.,NIL,1004,1009,,1004,1009,1004:1009:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,indeplux-1894-12-27-a-i0033,indeplux,1894-12-27,1894,1890,unk,unknown,unknown,impresso-project.ch/app/article/indeplux-1894-12-27-a-i0033
5253261,pers.ind.articleauthor,LABORI,NIL,25464,25470,,25464,25470,25464:25470:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,lepetitparisien-1898-02-10-a-i0023,lepetitparisien,1898-02-10,1898,1890,articleauthor,unknown,unknown,impresso-project.ch/app/article/lepetitparisien-1898-02-10-a-i0023
3417897,org.ent.pressagency.Havas,llavas,Q2826560,13334,13340,,13334,13340,13334:13340:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1894-12-14-a-i0008,JDG,1894-12-14,1894,1890,Havas,unknown,unknown,impresso-project.ch/app/article/JDG-1894-12-14-a-i0008
1307672,org.ent.pressagency.Wolff,Senf,Q552226,4600,4604,,4600,4604,4600:4604:org.ent.pressagency.Wolff:dbmdz_bert_base_historic_multilingual_de_and_fr,FZG-1903-08-29-a-i0004,FZG,1903-08-29,1903,1900,Wolff,unknown,unknown,impresso-project.ch/app/article/FZG-1903-08-29-a-i0004
5305117,org.ent.pressagency.Havas,Agence,Q2826560,46,52,,46,52,46:52:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1908-07-03-a-i0004,luxwort,1908-07-03,1908,1900,Havas,unknown,unknown,impresso-project.ch/app/article/luxwort-1908-07-03-a-i0004
5305872,org.ent.pressagency.Reuters,err,Q130879,8692,8695,,8692,8695,8692:8695:org.ent.pressagency.Reuters:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1901-01-22-a-i0012,luxwort,1901-01-22,1901,1900,Reuters,unknown,unknown,impresso-project.ch/app/article/luxwort-1901-01-22-a-i0012
5363033,pers.ind.articleauthor,FLEURY,NIL,1091,1097,,1091,1097,1091:1097:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,oerennes-1901-05-11-a-i0080,oerennes,1901-05-11,1901,1900,articleauthor,unknown,unknown,impresso-project.ch/app/article/oerennes-1901-05-11-a-i0080
4914193,org.ent.pressagency.Wolff,Wolff,Q552226,12862,12867,,12862,12867,12862:12867:org.ent.pressagency.Wolff:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1902-01-14-a-i0002,NZZ,1902-01-14,1902,1900,Wolff,unknown,unknown,impresso-project.ch/app/article/NZZ-1902-01-14-a-i0002
5208252,org.ent.pressagency.unk,.-,NIL,2800,2802,,2800,2802,2800:2802:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,lematin-1915-08-23-a-i0084,lematin,1915-08-23,1915,1910,unk,unknown,unknown,impresso-project.ch/app/article/lematin-1915-08-23-a-i0084
5188720,org.ent.pressagency.ag,Ag. Radio,NIL,450,459,,450,459,450:459:org.ent.pressagency.ag:dbmdz_bert_base_historic_multilingual_de_and_fr,lematin-1917-06-22-a-i0028,lematin,1917-06-22,1917,1910,ag,unknown,unknown,impresso-project.ch/app/article/lematin-1917-06-22-a-i0028
5190384,org.ent.pressagency.unk,.-,NIL,1088,1090,,1088,1090,1088:1090:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,lematin-1915-04-15-a-i0065,lematin,1915-04-15,1915,1910,unk,unknown,unknown,impresso-project.ch/app/article/lematin-1915-04-15-a-i0065
4453447,org.ent.pressagency.Havas,Havas,Q2826560,4675,4680,,4675,4680,4675:4680:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,LLE-1919-12-16-a-i0028,LLE,1919-12-16,1919,1910,Havas,unknown,unknown,impresso-project.ch/app/article/LLE-1919-12-16-a-i0028
5133233,pers.ind.articleauthor,ARTHUR MEYER,NIL,0,12,,0,12,0:12:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,legaulois-1916-02-16-a-i0051,legaulois,1916-02-16,1916,1910,articleauthor,unknown,unknown,impresso-project.ch/app/article/legaulois-1916-02-16-a-i0051
1239617,org.ent.pressagency.Reuters,Reuter,Q130879,1468,1474,,1468,1474,1468:1474:org.ent.pressagency.Reuters:dbmdz_bert_base_historic_multilingual_de_and_fr,FZG-1928-11-29-a-i0006,FZG,1928-11-29,1928,1920,Reuters,unknown,unknown,impresso-project.ch/app/article/FZG-1928-11-29-a-i0006
3495304,org.ent.pressagency.unk,U.,NIL,443,445,,443,445,443:445:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1921-01-09-a-i0028,JDG,1921-01-09,1921,1920,unk,unknown,unknown,impresso-project.ch/app/article/JDG-1921-01-09-a-i0028
4730575,org.ent.pressagency.Wolff,Wolff,Q552226,2478,2483,,2478,2483,2478:2483:org.ent.pressagency.Wolff:dbmdz_bert_base_historic_multilingual_de_and_fr,LSE-1923-12-06-a-i0032,LSE,1923-12-06,1923,1920,Wolff,unknown,unknown,impresso-project.ch/app/article/LSE-1923-12-06-a-i0032
386089,org.ent.pressagency.Havas,Havas,Q2826560,5011,5016,,5011,5016,5011:5016:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,EXP-1923-08-15-a-i0048,EXP,1923-08-15,1923,1920,Havas,unknown,unknown,impresso-project.ch/app/article/EXP-1923-08-15-a-i0048
4798330,org.ent.pressagency.Havas,Havas,Q2826560,19224,19229,,19224,19229,19224:19229:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1922-03-09-a-i0002,NZZ,1922-03-09,1922,1920,Havas,unknown,unknown,impresso-project.ch/app/article/NZZ-1922-03-09-a-i0002
1599183,org.ent.pressagency.Havas,Havas,Q2826560,124,129,,124,129,124:129:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1933-03-08-a-i0057,GDL,1933-03-08,1933,1930,Havas,unknown,unknown,impresso-project.ch/app/article/GDL-1933-03-08-a-i0057
2207970,org.ent.pressagency.Havas,Havas,Q2826560,4545,4550,,4545,4550,4545:4550:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1937-03-15-a-i0070,GDL,1937-03-15,1937,1930,Havas,unknown,unknown,impresso-project.ch/app/article/GDL-1937-03-15-a-i0070
5097804,pers.ind.articleauthor,A.,NIL,777,779,,777,779,777:779:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,jdpl-1934-11-25-a-i0101,jdpl,1934-11-25,1934,1930,articleauthor,unknown,unknown,impresso-project.ch/app/article/jdpl-1934-11-25-a-i0101
1528249,org.ent.pressagency.AP,ag,Q40469,526,528,,526,528,526:528:org.ent.pressagency.AP:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1935-01-16-a-i0087,GDL,1935-01-16,1935,1930,AP,unknown,unknown,impresso-project.ch/app/article/GDL-1935-01-16-a-i0087
2212964,org.ent.pressagency.Havas,Havas,Q2826560,5069,5074,,5069,5074,5069:5074:org.ent.pressagency.Havas:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1937-06-17-a-i0095,GDL,1937-06-17,1937,1930,Havas,unknown,unknown,impresso-project.ch/app/article/GDL-1937-06-17-a-i0095
1642260,org.ent.pressagency.AFP,A. F. P.,Q40464,63,71,,63,71,63:71:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1946-10-11-a-i0018,GDL,1946-10-11,1946,1940,AFP,unknown,unknown,impresso-project.ch/app/article/GDL-1946-10-11-a-i0018
4498415,org.ent.pressagency.DNB,DNB,Q1205856,4020,4023,,4020,4023,4020:4023:org.ent.pressagency.DNB:dbmdz_bert_base_historic_multilingual_de_and_fr,LLE-1943-05-01-a-i0031,LLE,1943-05-01,1943,1940,DNB,unknown,unknown,impresso-project.ch/app/article/LLE-1943-05-01-a-i0031
5355924,pers.ind.articleauthor,///,NIL,4589,4592,,4589,4592,4589:4592:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1949-07-19-a-i0090,luxwort,1949-07-19,1949,1940,articleauthor,unknown,unknown,impresso-project.ch/app/article/luxwort-1949-07-19-a-i0090
1327158,org.ent.pressagency.AFP,AFP,Q40464,2228,2231,,2228,2231,2228:2231:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,FZG-1948-10-20-a-i0031,FZG,1948-10-20,1948,1940,AFP,unknown,unknown,impresso-project.ch/app/article/FZG-1948-10-20-a-i0031
4728861,org.ent.pressagency.Reuters,Reuter,Q130879,4570,4576,,4570,4576,4570:4576:org.ent.pressagency.Reuters:dbmdz_bert_base_historic_multilingual_de_and_fr,LSE-1940-12-07-a-i0062,LSE,1940-12-07,1940,1940,Reuters,unknown,unknown,impresso-project.ch/app/article/LSE-1940-12-07-a-i0062
1497959,org.ent.pressagency.AFP,. P.,Q40464,1266,1270,,1266,1270,1266:1270:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1950-11-22-a-i0062,GDL,1950-11-22,1950,1950,AFP,unknown,unknown,impresso-project.ch/app/article/GDL-1950-11-22-a-i0062
4758070,org.ent.pressagency.AFP,AFP,Q40464,76,79,,76,79,76:79:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,LSE-1959-07-08-a-i0003,LSE,1959-07-08,1959,1950,AFP,unknown,unknown,impresso-project.ch/app/article/LSE-1959-07-08-a-i0003
1072643,org.ent.pressagency.AFP,A. F. P.,Q40464,1762,1770,,1762,1770,1762:1770:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,EXP-1950-11-24-a-i0008,EXP,1950-11-24,1950,1950,AFP,unknown,unknown,impresso-project.ch/app/article/EXP-1950-11-24-a-i0008
2538119,org.ent.pressagency.AFP,AFP,Q40464,2143,2146,,2143,2146,2143:2146:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,IMP-1951-11-29-a-i0177,IMP,1951-11-29,1951,1950,AFP,unknown,unknown,impresso-project.ch/app/article/IMP-1951-11-29-a-i0177
218447,org.ent.pressagency.AFP,AFP,Q40464,6190,6193,,6190,6193,6190:6193:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,DTT-1959-11-21-a-i0220,DTT,1959-11-21,1959,1950,AFP,unknown,unknown,impresso-project.ch/app/article/DTT-1959-11-21-a-i0220
87270,org.ent.pressagency.AFP,AFP,Q40464,4173,4176,,4173,4176,4173:4176:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,DTT-1963-05-16-a-i0006,DTT,1963-05-16,1963,1960,AFP,unknown,unknown,impresso-project.ch/app/article/DTT-1963-05-16-a-i0006
1582363,org.ent.pressagency.AP,Ap,Q40469,384,386,,384,386,384:386:org.ent.pressagency.AP:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1969-07-18-a-i0003,GDL,1969-07-18,1969,1960,AP,unknown,unknown,impresso-project.ch/app/article/GDL-1969-07-18-a-i0003
289863,org.ent.pressagency.AP,AP,Q40469,76,78,,76,78,76:78:org.ent.pressagency.AP:dbmdz_bert_base_historic_multilingual_de_and_fr,EXP-1968-07-20-a-i0008,EXP,1968-07-20,1968,1960,AP,unknown,unknown,impresso-project.ch/app/article/EXP-1968-07-20-a-i0008
3486775,org.ent.pressagency.AFP,AFP,Q40464,5927,5930,,5927,5930,5927:5930:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1964-03-31-a-i0016,JDG,1964-03-31,1964,1960,AFP,unknown,unknown,impresso-project.ch/app/article/JDG-1964-03-31-a-i0016
26044,org.ent.pressagency.UP-UPI,UPI,Q493845,4514,4517,,4514,4517,4514:4517:org.ent.pressagency.UP-UPI:dbmdz_bert_base_historic_multilingual_de_and_fr,DTT-1965-02-21-a-i0043,DTT,1965-02-21,1965,1960,UP-UPI,unknown,unknown,impresso-project.ch/app/article/DTT-1965-02-21-a-i0043
2007580,org.ent.pressagency.ATS-SDA,Ats,Q430109,2362,2365,,2362,2365,2362:2365:org.ent.pressagency.ATS-SDA:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1972-02-14-a-i0063,GDL,1972-02-14,1972,1970,ATS-SDA,unknown,unknown,impresso-project.ch/app/article/GDL-1972-02-14-a-i0063
3025302,org.ent.pressagency.AP,a p,Q40469,415,418,,415,418,415:418:org.ent.pressagency.AP:dbmdz_bert_base_historic_multilingual_de_and_fr,IMP-1976-11-25-a-i0001,IMP,1976-11-25,1976,1970,AP,unknown,unknown,impresso-project.ch/app/article/IMP-1976-11-25-a-i0001
4232424,org.ent.pressagency.ATS-SDA,ATS,Q430109,33,36,,33,36,33:36:org.ent.pressagency.ATS-SDA:dbmdz_bert_base_historic_multilingual_de_and_fr,LLE-1970-03-11-a-i0041,LLE,1970-03-11,1970,1970,ATS-SDA,unknown,unknown,impresso-project.ch/app/article/LLE-1970-03-11-a-i0041
516748,org.ent.pressagency.AP,AP,Q40469,56,58,,56,58,56:58:org.ent.pressagency.AP:dbmdz_bert_base_historic_multilingual_de_and_fr,EXP-1976-06-17-a-i0540,EXP,1976-06-17,1976,1970,AP,unknown,unknown,impresso-project.ch/app/article/EXP-1976-06-17-a-i0540
4244912,org.ent.pressagency.ATS-SDA,ATS,Q430109,1085,1088,,1085,1088,1085:1088:org.ent.pressagency.ATS-SDA:dbmdz_bert_base_historic_multilingual_de_and_fr,LLE-1979-07-03-a-i0064,LLE,1979-07-03,1979,1970,ATS-SDA,unknown,unknown,impresso-project.ch/app/article/LLE-1979-07-03-a-i0064
2754976,org.ent.pressagency.AFP,afp,Q40464,1692,1695,,1692,1695,1692:1695:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,IMP-1982-11-08-a-i0030,IMP,1982-11-08,1982,1980,AFP,unknown,unknown,impresso-project.ch/app/article/IMP-1982-11-08-a-i0030
3060401,org.ent.pressagency.AP,a p,Q40469,232,235,,232,235,232:235:org.ent.pressagency.AP:dbmdz_bert_base_historic_multilingual_de_and_fr,IMP-1983-08-13-a-i0106,IMP,1983-08-13,1983,1980,AP,unknown,unknown,impresso-project.ch/app/article/IMP-1983-08-13-a-i0106
1645514,org.ent.pressagency.AFP,AFP,Q40464,63,66,,63,66,63:66:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1983-02-11-a-i0157,GDL,1983-02-11,1983,1980,AFP,unknown,unknown,impresso-project.ch/app/article/GDL-1983-02-11-a-i0157
2836932,org.ent.pressagency.ATS-SDA,ats,Q430109,725,728,,725,728,725:728:org.ent.pressagency.ATS-SDA:dbmdz_bert_base_historic_multilingual_de_and_fr,IMP-1989-08-07-a-i0016,IMP,1989-08-07,1989,1980,ATS-SDA,unknown,unknown,impresso-project.ch/app/article/IMP-1989-08-07-a-i0016
4142333,org.ent.pressagency.AP,a p,Q40469,1475,1478,,1475,1478,1475:1478:org.ent.pressagency.AP:dbmdz_bert_base_historic_multilingual_de_and_fr,LLE-1981-10-21-a-i0293,LLE,1981-10-21,1981,1980,AP,unknown,unknown,impresso-project.ch/app/article/LLE-1981-10-21-a-i0293
2472586,org.ent.pressagency.ATS-SDA,ATS,Q430109,203,206,,203,206,203:206:org.ent.pressagency.ATS-SDA:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1991-03-12-a-i0060,GDL,1991-03-12,1991,1990,ATS-SDA,unknown,unknown,impresso-project.ch/app/article/GDL-1991-03-12-a-i0060
3791828,org.ent.pressagency.AFP,AFP,Q40464,1527,1530,,1527,1530,1527:1530:org.ent.pressagency.AFP:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1991-06-07-a-i0113,JDG,1991-06-07,1991,1990,AFP,unknown,unknown,impresso-project.ch/app/article/JDG-1991-06-07-a-i0113
3790727,org.ent.pressagency.Wolff,CHF,Q552226,9526,9529,,9526,9529,9526:9529:org.ent.pressagency.Wolff:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1996-10-19-a-i0116,JDG,1996-10-19,1996,1990,Wolff,unknown,unknown,impresso-project.ch/app/article/JDG-1996-10-19-a-i0116
1690251,org.ent.pressagency.ATS-SDA,ATS,Q430109,939,942,,939,942,939:942:org.ent.pressagency.ATS-SDA:dbmdz_bert_base_historic_multilingual_de_and_fr,GDL-1995-12-08-a-i0144,GDL,1995-12-08,1995,1990,ATS-SDA,unknown,unknown,impresso-project.ch/app/article/GDL-1995-12-08-a-i0144
3405886,org.ent.pressagency.ATS-SDA,ats,Q430109,3807,3810,,3807,3810,3807:3810:org.ent.pressagency.ATS-SDA:dbmdz_bert_base_historic_multilingual_de_and_fr,IMP-1994-11-05-a-i0001,IMP,1994-11-05,1994,1990,ATS-SDA,unknown,unknown,impresso-project.ch/app/article/IMP-1994-11-05-a-i0001
